accountId,date_acquired,cust_age,avg_order_rev,min_order_rev,max_order_rev,tot_order_cnt,churned
74,2013-06-04,1157,508.1975,429.05,569.75,4,0
102,2012-10-12,1392,385.34,233.3,537.38,2,1
139,2013-10-08,1031,1321.25,489,2153.5,2,1
152,2012-10-11,1393,320.87,286,355.74,2,1
163,2013-03-11,1242,725.02,87,1363.04,2,1
173,2012-10-19,1385,630.43,88,2373.6,11,0
176,2012-10-05,1399,881.945,551.62,1212.27,2,1
186,2012-10-08,1396,1806.581667,180,5450,6,1
205,2012-10-10,1394,371.5,240.5,502.5,2,1
218,2012-10-11,1393,506.083333,195.93,719.3,3,1
221,2012-10-12,1392,773.026667,95,1452.32,3,1
225,2012-10-12,1392,601.88,513.8,689.96,2,1
230,2012-10-15,1389,1089.97625,191.17,2715.44,8,1
232,2012-10-15,1389,421.315,322,520.63,2,1
236,2012-10-15,1389,788.734444,444.98,1863.89,9,0
241,2012-10-15,1389,6349.55,3700,8999.1,2,1
244,2013-08-17,1083,1255.3275,389.88,3186.33,4,1
247,2012-10-16,1388,320.546667,125,609.87,3,1
249,2012-10-16,1388,500.5,377,624,2,1
255,2012-10-17,1387,821.4,355.24,1501.86,19,0
263,2012-10-19,1385,732.941538,144.95,1600.42,15,1
266,2012-10-20,1384,1093.68,1093.68,1093.68,2,1
270,2012-10-22,1382,320.75,274.3,367.2,2,0
289,2012-10-24,1380,706.87,251.85,1674.27,8,0
300,2012-11-19,1354,2832.111538,322,13726.1,14,1
301,2012-10-25,1379,1699.2,27,2570,20,0
302,2012-10-25,1379,465.121,173.94,755.58,10,0
310,2012-10-25,1379,641.666667,550,825,4,1
316,2012-11-13,1360,225,225,225,2,1
317,2012-11-16,1357,1982.045,388.74,2750.94,4,1
323,2012-10-30,1374,215.785,30,401.57,2,1
324,2012-10-30,1374,620.025556,76.92,2844,9,1
341,2013-02-04,1277,508.004,257.27,875,13,0
348,2012-11-05,1368,760.486667,604,849.15,6,0
350,2012-11-06,1367,522.28,522.28,522.28,2,1
352,2012-11-07,1366,637.5,572,703,3,1
354,2012-12-13,1330,540.535,396.78,684.29,2,1
356,2012-11-05,1368,1352.6,1045.75,1659.45,2,1
359,2013-01-14,1298,1212.43,929.25,1614.17,4,1
364,2012-11-29,1344,349.495,202.79,496.2,2,1
368,2012-11-13,1360,575.106667,220.92,1223.7,3,1
372,2012-11-07,1366,2036.88,1614.48,2459.28,2,1
376,2012-11-07,1366,541,156,926,2,1
385,2013-04-12,1210,1163.61875,45,4643,10,0
386,2012-11-08,1365,494.7,491.4,498,2,1
388,2012-11-08,1365,624.04,287.76,979.56,3,1
394,2012-11-09,1364,329.8,300.4,359.2,3,1
395,2012-11-09,1364,1924.8,592.2,4590,3,0
418,2013-05-01,1191,1293.101818,13.5,4750,13,0
430,2012-11-13,1360,527.875,422.5,633.25,2,1
438,2014-05-19,808,2089.95,2089.95,2089.95,2,1
448,2012-11-13,1360,617.3,542.5,692.1,2,1
453,2013-01-03,1309,325.385,311.47,339.3,2,1
